Life expectancy,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,Total expenditure,Population,Schooling
72.6,0,9.85,1137.6237,92,0,58.5,6.84,2141669,16.4
66.5,30,0.07,0,63,0,51.3,4.36,25627626,9.4
73.3,1,3.67,192.3226305,98,0,45.4,4.8,2728777,11.1
59.8,1,0.45,20.86878709,25,24,3.9,7.72,8942,4.5
76,32,0.01,429.6625083,61,15,57.2,5.26,32776571,10.5
68.9,1,12.6,364.426052,98,149,57.2,6.34,964924,14.6
60,2,0.24,69.9675435,68,912,19.2,4.32,611627,9.7
66.7,177,0.05,43.17867291,63,14492,16.7,2.27,2175859,10.6
78.9,1,4.22,1859.095621,89,0,53.4,9.1,442958,12.9
68.4,6,0.73,81.28883085,49,1238,44.7,7.86,839185,11.2
79.9,2,6.76,2260.777642,9,0,61.8,7.24,1739746,15.5
81.4,0,8.49,409.6000248,9,0,69.2,9.75,427364,14.3
74.7,46,7.24,916.270845,96,220,54.5,8.48,2248632,14.2
75.8,0,12.56,2019.812779,95,0,58.7,7.44,4436,14.3
65.8,0,0.01,137.2591943,95,0,76.7,1.15,18535,11.9
75.3,21,0.53,544.4507432,95,25,57.2,7.12,38338562,14.4
69.4,0,0.01,209.3921344,99,0,23.6,3.57,776448,12.5
81.4,0,11.02,15515.75234,94,0,6.5,7.1,54336,13.9
63.7,364,0.01,28.98323119,65,4248,18.4,2.56,15783,5.6
83,0,0.01,207.3041936,96,10,59.8,7.37,115239,14
57.9,64,1.71,60.5153506,88,1282,17.9,3.9,39148416,10.4
61.4,36,0.68,38.41870375,82,2,16.3,5.11,1888268,9
64.7,8,6.55,33.91660183,99,2204,45.8,3.95,1512985,13.5
75.6,1,3.79,5.457289334,93,0,52.7,5.91,285187,12.8
59.3,11,0.61,110.9803062,6,17620,38.9,7.69,5862316,6.9
62.8,16,7.92,63.78723633,97,121,18.3,7.91,1246842,10
78.7,1,8.62,1403.022211,9,12,58,8.47,1862132,14.2
62.2,2,5.76,668.9562854,95,8,35.7,5.25,251339,12.4
75.8,40,5.11,980.2537444,98,23,57.2,5.83,1192378,12.2
56.7,29,0.01,55.83107625,89,1,18.8,1.96,16577147,10.7
74.1,51,7.58,1084.999766,98,43,52.8,8.9,198686688,14
89,2,8.98,4270.914882,96,599,57.6,8.49,57685327,15.6
57.6,4,0.01,0.948526366,87,0,24.3,5.96,1638139,9.1
57.6,22,6.88,78.47020226,99,494,15.9,1.2,92658,9.3
59.8,177,1.13,38.55783268,52,3511,14.9,4.28,83184892,7.6
77.5,1,6.89,1694.467075,8,0,56.3,8.9,3838462,12.9
